code,category,date,time_start,time_end,location
1,搶奪,2018-02-09,02,04,台北市中山區新生北路3段56巷
2,搶奪,2018-03-13,18,20,台北市北投區關渡里知行路316巷22弄1~30號
3,搶奪,2018-03-16,18,20,台北市中正區富水里思源街與永春街口
4,搶奪,2018-05-19,00,02,台北市萬華區(桂林路與柳州街)
5,搶奪,2018-06-11,18,20,台北市北投區八仙里西安街2段(與公館路口)
6,搶奪,2018-07-06,00,02,台北市中山區林森北路511~540號
7,搶奪,2018-07-30,20,22,台北市內湖區康樂街1~30號
8,搶奪,2018-11-18,04,06,台北市士林區福佳里中正路211~240號
9,搶奪,2018-12-27,12,14,台北市大同區伊寧街75巷(伊寧街)
10,搶奪,2019-01-18,12,14,台北市中正區三愛里臨沂街59巷31~60號
11,搶奪,2019-01-18,20,22,台北市萬華區環河南路2段5巷口巷
12,搶奪,2019-03-27,18,20,台北市中正區網溪里廈門街123巷(內)
13,搶奪,2019-03-27,20,22,台北市中正區河堤里同安街紀州庵前2段
14,搶奪,2019-04-30,18,20,台北市萬華區成都路76巷口弄
15,搶奪,2019-08-02,16,18,台北市萬華區(華西街與桂林路口)
16,搶奪,2019-08-07,06,08,台北市大同區哈密街59巷21弄
17,搶奪,2019-08-26,16,18,台北市信義區四維里虎林街70巷31~60號
18,搶奪,2019-12-05,18,20,台北市萬華區漢中街31~60號
19,搶奪,2020-02-10,22,24,台北市萬華區武昌街2段121~150號
20,搶奪,2020-02-16,12,14,台北市萬華區昆明街181~210號
21,搶奪,2020-02-23,22,24,台北市文山區景行里羅斯福路6段391~420號
22,搶奪,2020-04-16,14,16,台北市大同區迪化街1段(永樂市場2號
23,搶奪,2020-04-22,00,02,台北市大安區龍安里和平東路1段199巷
24,搶奪,2020-08-22,14,16,台北市中山區中山北路2段與錦西街口
25,搶奪,2020-09-27,00,02,台北市萬華區梧州街與廣州街口
26,搶奪,2020-11-06,16,18,台北市大同區延平北路2段151~180號
27,搶奪,2020-11-24,18,20,台北市萬華區梧州街31~60號
28,搶奪,2021-03-28,22,24,台北市中山區建國北路三段75巷內
