code,category,date,time_start,time_end,location,lat,lng
60,自行車竊盜,2015-02-18,08,10,臺北市內湖區瑞光里瑞光路112巷58弄,25.0712341,121.5798936
61,自行車竊盜,2015-02-18,22,24,臺北市萬華區西門站,25.0415168,121.5077921
62,自行車竊盜,2015-02-19,10,12,臺北市信義區安康里虎林街164巷58弄1~30號,25.0381194,121.5747779
63,自行車竊盜,2015-02-20,20,22,臺北市北投區榮光里石牌路1段181~210號,25.114971,121.5145744
64,自行車竊盜,2015-02-22,14,16,臺北市中山區圓山捷運站2號,25.0696122,121.5201843
65,自行車竊盜,2015-02-22,14,16,臺北市大安區辛亥路1段61~90號,25.018293,121.528092
66,自行車竊盜,2015-02-25,04,06,臺北市大安區黎孝里和平東路3段301~330號,25.0217579,121.555645
67,自行車竊盜,2015-02-25,10,12,臺北市信義區基隆路2段31~60號,25.0282622,121.5569803
68,自行車竊盜,2015-02-26,00,02,臺北市文山區樟腳里木新路3段95巷31~60號,24.9812804,121.5630862
69,自行車竊盜,2015-02-28,18,20,臺北市南港區新富里忠孝東路7段631~660號,25.053385,121.615939
70,自行車竊盜,2015-03-01,00,02,臺北市大安區光信里5鄰光復南路421~450號,25.035296,121.557886
71,自行車竊盜,2015-03-06,10,12,臺北市文山區景華里三福街1~30號,24.9961299,121.541519
72,自行車竊盜,2015-03-06,14,16,臺北市中山區錦州街331~360號,25.0603641,121.5389614
73,自行車竊盜,2015-03-07,12,14,臺北市松山區南京東路3段331~360號,25.0520702,121.547338
74,自行車竊盜,2015-03-08,08,10,臺北市大安區法治里通化街181~210號,25.0394978,121.5628887
75,自行車竊盜,2015-03-08,22,24,臺北市南港區東明里(家樂福前之機車停車格),25.0532391,121.5926833
76,自行車竊盜,2015-03-14,14,16,臺北市南港區合成里忠孝東路6段451~480號,25.0506282,121.5937913
77,自行車竊盜,2015-03-15,06,08,臺北市大安區古莊里羅斯福路2段101巷1~30號,25.024646,121.5258427
78,自行車竊盜,2015-03-15,08,10,臺北市大安區和平東路1段151~180號,25.0265798,121.5311573
79,自行車竊盜,2015-03-16,20,22,臺北市大安區學府里羅斯福路4段1~30號,25.0173405,121.5397518
80,自行車竊盜,2015-03-17,12,14,臺北市大安區華聲里市民大路4段211~240號,25.0435208,121.556267
81,自行車竊盜,2015-03-18,06,08,臺北市北投區清江里三合街2段481~510號,25.1262794,121.5013501
82,自行車竊盜,2015-03-18,10,12,臺北市松山區松河街91~120號,25.0509374,121.5746005
83,自行車竊盜,2015-03-18,16,18,臺北市大安區福住里新生南路2段31~60號,25.0305591,121.5338566
84,自行車竊盜,2015-03-19,06,08,臺北市南港區新富里研究院路1段31~60號,25.0548961,121.6168525
85,自行車竊盜,2015-03-19,12,14,臺北市士林區中山北路5段61~90號,25.0836168,121.5255946
86,自行車竊盜,2015-03-20,12,14,臺北市信義區忠孝東路5段421~450號,25.0409267,121.5754534
87,自行車竊盜,2015-03-21,12,14,臺北市大安區黎和里和平東路3段391~420號,25.0196996,121.5575849
88,自行車竊盜,2015-03-22,18,20,臺北市大安區古莊里羅斯福路2段101巷31~60號,25.024804,121.526013
89,自行車竊盜,2015-03-23,10,12,臺北市大安區敦安里敦化南路1段295巷31~60號,25.035761,121.5493317
90,自行車竊盜,2015-03-27,14,16,臺北市中正區建國里博愛路121~150號,25.0403293,121.511411
91,自行車竊盜,2015-03-29,10,12,臺北市中正區水源里羅斯福路4段52巷16弄(口),25.0142437,121.5341721
92,自行車竊盜,2015-03-29,14,16,臺北市中正區文盛里汀州路3段151~180號,25.0158782,121.5313528
93,自行車竊盜,2015-03-29,16,18,臺北市南港區東新里興南街64巷4弄1~30號,25.0558703,121.6016597
94,自行車竊盜,2015-03-31,10,12,臺北市萬華區艋舺大道181~210號,25.0278231,121.4903396
95,自行車竊盜,2015-04-02,08,10,臺北市大安區古莊里浦城街6巷1~30號,25.0240919,121.5267202
96,自行車竊盜,2015-04-05,18,20,臺北市中山區敬業三路121~150號,25.0817519,121.5556984
97,自行車竊盜,2015-04-05,22,24,臺北市大同區南芳里延平北路2段241~270號,25.0620649,121.511392
98,自行車竊盜,2015-04-05,22,24,臺北市內湖區湖元里舊宗路2段(內湖運動公園),25.067763,121.573841
99,自行車竊盜,2015-04-07,08,10,臺北市大安區龍泉里師大路1~30號,25.026164,121.5285658
100,自行車竊盜,2015-04-08,00,02,臺北市大安區敦安里8鄰安和路1段78巷1~30號,25.0349533,121.5514851
101,自行車竊盜,2015-04-09,20,22,臺北市北投區榮光里石牌路1段181~210號,25.114971,121.5145744
102,自行車竊盜,2015-04-10,04,06,臺北市文山區萬祥里興隆路1段102巷1~30號,25.0028986,121.5412664
103,自行車竊盜,2015-04-10,08,10,臺北市大同區鄰江里酒泉街228巷,25.0721406,121.509962
104,自行車竊盜,2015-04-12,02,04,臺北市大安區昌隆里忠孝東路3段217巷5弄1~30號,25.0432508,121.539589
105,自行車竊盜,2015-04-12,10,12,臺北市文山區興邦里興隆路2段241~270號,25.0019609,121.551362
106,自行車竊盜,2015-04-14,10,12,臺北市北投區福興里自強街5巷31~60號,25.1106538,121.5119371
107,自行車竊盜,2015-04-15,06,08,臺北市大同區建泰里南京西路91~120號,25.0533887,121.5182387
108,自行車竊盜,2015-04-15,08,10,臺北市萬華區東園街28巷1~30號,25.026999,121.49555
109,自行車竊盜,2015-04-15,10,12,臺北市大安區福住里永康街31~60號,25.0310294,121.5295852
110,自行車竊盜,2015-04-15,14,16,臺北市中山區農安街227巷31~60號,25.0664327,121.5340049
111,自行車竊盜,2015-04-17,10,12,臺北市士林區福德里福德路1~30號,25.093535,121.52623
112,自行車竊盜,2015-04-20,00,02,臺北市文山區興業里興隆路2段220巷31~60號,25.0005075,121.5522314
