code,category,date,time_start,time_end,location,lat,lng
60,汽車竊盜,2015-05-26,22,24,台北市信義區四育里松隆路271~300號,25.0481068,121.5780556
61,汽車竊盜,2015-05-28,22,24,台北市信義區雅祥里市民大道6段(松隆路123巷口),25.049203,121.5716498
62,汽車竊盜,2015-05-31,20,22,台北市北投區立賢里承德路7段304巷1~30號,25.1169561,121.5049042
63,汽車竊盜,2015-06-13,20,22,台北市中山區民族東路與松江路西北角,25.0681682,121.5335913
64,汽車竊盜,2015-06-16,10,12,台北市中正區河堤里金門街附近,25.0218477,121.5234843
65,汽車竊盜,2015-06-16,14,16,台北市北投區湖山里紗帽路(與建國街口),25.1503594,121.5489136
66,汽車竊盜,2015-06-27,20,22,台北市北投區建民里文林北路80巷90弄31~60號,25.1066677,121.5204501
67,汽車竊盜,2015-06-28,16,18,台北市南港區玉成里南港路3段130巷3弄1~30號,25.0538708,121.5879579
68,汽車竊盜,2015-07-15,00,02,台北市南港區玉成里南港路3段149巷,25.051649,121.5857932
69,汽車竊盜,2015-07-19,00,02,台北市文山區老泉里老泉街(北二高涵洞下方),24.9689746,121.5765882
70,汽車竊盜,2015-07-20,20,22,台北市中正區西藏路61~90號,25.0301757,121.5052357
71,汽車竊盜,2015-07-23,00,02,台北市信義區三犁里信義路5段121~150號,25.0323787,121.5667223
72,汽車竊盜,2015-07-31,10,12,台北市萬華區環河南路3段181~210號,25.022233,121.492031
73,汽車竊盜,2015-08-01,06,08,台北市北投區立賢里承德路7段342巷(口),25.1208333,121.5061653
74,汽車竊盜,2015-08-07,08,10,台北市大同區朝陽里南京西路301~330號,25.053531,121.508559
75,汽車竊盜,2015-08-09,02,04,台北市文山區萬芳里萬美街1段31~60號,25.001194,121.566214
76,汽車竊盜,2015-08-14,04,06,台北市北投區一德里中央北路4段31~60號,25.13015,121.471609
77,汽車竊盜,2015-08-24,08,10,台北市士林區福佳里中正路361~390號,25.094283,121.522101
78,汽車竊盜,2015-08-25,10,12,台北市中山區民生東路2段與松江路226巷口停車場,25.0584725,121.5330959
79,汽車竊盜,2015-08-27,02,04,台北市士林區福順里重慶北路4段121~150號,25.0825221,121.5120794
80,汽車竊盜,2015-08-27,06,08,台北市南港區玉成里松河街301~330號,25.052361,121.5810019
81,汽車竊盜,2015-08-31,00,02,台北市中山區中山北路2段42巷內,25.0545945,121.521935
82,汽車竊盜,2015-09-01,00,02,台北市北投區豐年里大業路601~630號,25.1368508,121.497712
83,汽車竊盜,2015-09-01,12,14,台北市北投區大同里北投路2段(與中央南路口),25.132167,121.501419
84,汽車竊盜,2015-09-21,06,08,台北市中正區南福里南昌路2段31~60號,25.028038,121.5198942
85,汽車竊盜,2015-09-23,20,22,台北市萬華區艋舺大道長順街口,25.0302947,121.49263
86,汽車竊盜,2015-09-25,10,12,台北市萬華區康定路287巷,25.0340894,121.5015008
87,汽車竊盜,2015-09-27,12,14,台北市萬華區雙園河濱公園,25.034607,121.488616
88,汽車竊盜,2015-10-04,00,02,台北市文山區萬和里溪洲街31~60號,25.0060374,121.534798
89,汽車竊盜,2015-10-05,12,14,台北市信義區雅祥松信路31~60號,25.0479115,121.5720593
90,汽車竊盜,2015-10-09,22,24,台北市信義區雅祥里松信路31~60號,25.0482662,121.5721907
91,汽車竊盜,2015-10-13,08,10,台北市大同區至聖里承德路3段208巷1~30號,25.0705388,121.517703
92,汽車竊盜,2015-10-14,00,02,台北市大安區黎和里6鄰和平東路3段636巷,25.0242828,121.5502243
93,汽車竊盜,2015-10-20,12,14,台北市南港區新光里忠孝東路7段391~420號,25.0522307,121.6078595
94,汽車竊盜,2015-11-02,10,12,台北市北投區稻香里秀山路(外交部宿舍車道口對面),25.14302,121.490745
95,汽車竊盜,2015-11-05,08,10,台北市中正區光復里開封街1段91~120號,25.0459752,121.5109547
96,汽車竊盜,2015-11-07,00,02,台北市士林區福安里延平北路7段31~60號,25.0952089,121.4965466
97,汽車竊盜,2015-11-10,14,16,台北市信義區三張里松仁路(吳興街口),25.02642,121.5643581
98,汽車竊盜,2015-11-21,18,20,台北市士林區富光里葫蘆街54巷1~30號,25.0806085,121.5090512
99,汽車竊盜,2015-11-24,06,08,台北市南港區新富里研究院路1段101巷(內),25.0513022,121.6159598
100,汽車竊盜,2015-12-08,08,10,台北市內湖區潭美街(潭美街上編號,25.061708,121.6026097
101,汽車竊盜,2015-12-08,10,12,台北市北投區關渡里知行路361~390號,25.1173088,121.463383
102,汽車竊盜,2015-12-13,06,08,台北市北投區中央里大業路(與大興街口),25.1290963,121.4974563
103,汽車竊盜,2015-12-17,22,24,台北市內湖區(內湖路一段91巷39弄1~30號,25.088135,121.562236
104,汽車竊盜,2015-12-20,04,06,台北市北投區稻香里稻香路108巷(對面政戰學校外防汛道路),25.1380863,121.4928649
105,汽車竊盜,2015-12-21,10,12,台北市士林區福佳里基河路361~390號,25.0979747,121.5140686
106,汽車竊盜,2015-12-25,08,10,台北市北投區豐年里大業路527巷31~60號,25.137423,121.4913236
107,汽車竊盜,2015-12-26,16,18,台北市北投區洲美里承德路6段421~450號,25.1080952,121.5115548
108,汽車竊盜,2015-12-31,18,20,台北市北投區一德里中央北路4段91~120號,25.13015,121.471609
109,汽車竊盜,2016-01-01,02,04,台北市中山區德惠街167巷31~60號,25.0677999,121.5319475
110,汽車竊盜,2016-01-12,06,08,台北市士林區天和里天母東路91~120號,25.117939,121.533967
111,汽車竊盜,2016-01-12,20,22,台北市中正區螢圃里重慶南路3段61~90號,25.0267015,121.5163423
112,汽車竊盜,2016-01-16,04,06,台北市松山區光復北路230巷,25.0562299,121.5544568
113,汽車竊盜,2016-01-18,08,10,台北市大安區建安里敦化南路1段161巷69弄1~30號,25.0440083,121.5525252
114,汽車竊盜,2016-01-20,04,06,台北市北投區榮華里9鄰榮華二路1~30號,25.1133291,121.5241068
115,汽車竊盜,2016-01-20,08,10,台北市士林區社園里通河西街2段121~150號,25.0929118,121.5068773
116,汽車竊盜,2016-01-21,14,16,台北市北投區寶興便道,24.9727751,121.553764
117,汽車竊盜,2016-01-24,14,16,台北市內湖區碧山路1~30號,25.0865976,121.5912985
118,汽車竊盜,2016-01-28,06,08,台北市北投區大同里大業路361~390號,25.1314642,121.4961263
119,汽車竊盜,2016-02-05,10,12,台北市松山區南京東路4段52巷,25.0511962,121.5536603
120,汽車竊盜,2016-02-16,02,04,台北市中正區頂東里師大路121~150號,25.022044,121.528399
121,汽車竊盜,2016-02-17,02,04,台北市大安區福住里1鄰新生南路2段30巷1~30號,25.0311589,121.530856
122,汽車竊盜,2016-02-20,18,20,台北市北投區建民里文林北路80巷3弄(口),25.1056999,121.5188619
123,汽車竊盜,2016-02-22,02,04,台北市中正區河堤里金門街34巷(對面),25.0218481,121.521855
124,汽車竊盜,2016-02-24,02,04,台北市士林區德華里文林路740巷,25.1032314,121.5208449
125,汽車竊盜,2016-02-25,06,08,台北市大同區雙連里錦西街52巷,25.0599261,121.5199486
126,汽車竊盜,2016-02-28,14,16,台北市北投區泉源里東昇路38~16號,25.1504793,121.5291741
127,汽車竊盜,2016-03-01,12,14,台北市大同區雙連里錦西街52巷1~30號,25.060083,121.519999
128,汽車竊盜,2016-03-01,12,14,台北市文山區樟林里014鄰辛亥路7段(路邊),24.9868613,121.5529991
129,汽車竊盜,2016-03-04,02,04,台北市南港區新富里研究院路1段101巷1~30號,25.051755,121.6168556
130,汽車竊盜,2016-03-07,10,12,台北市萬華區大理路160巷19弄1~30號,25.0329485,121.4939633
131,汽車竊盜,2016-03-11,18,20,台北市北投區稻香路121~150號,25.1415126,121.4899603
132,汽車竊盜,2016-03-12,00,02,台北市內湖區新明路122~1號,25.059104,121.5887367
133,汽車竊盜,2016-03-12,00,02,台北市內湖區新明路122~1號,25.059104,121.5887367
134,汽車竊盜,2016-03-14,02,04,台北市萬華區桂林路244巷61~90號,25.0365385,121.4930727
135,汽車竊盜,2016-03-14,02,04,台北市萬華區桂林路244巷61~90號,25.0365385,121.4930727
136,汽車竊盜,2016-03-18,18,20,台北市松山區濱江路361~390號,25.0541591,121.5638621
137,汽車竊盜,2016-03-19,14,16,台北市大同區老師里重慶北路3段(民族西路),25.0686427,121.5136345
138,汽車竊盜,2016-03-25,04,06,台北市萬華區環河南路3段61~90號,25.026091,121.4902584
139,汽車竊盜,2016-03-31,12,14,台北市萬華區桂林路246巷31~60號,25.0372141,121.4931447
140,汽車竊盜,2016-04-19,14,16,台北市內湖區民權東路6段136巷31~60號,25.0674039,121.5877661
141,汽車竊盜,2016-04-19,14,16,台北市內湖區民權東路6段136巷31~60號,25.0674039,121.5877661
142,汽車竊盜,2016-04-21,06,08,台北市士林區永倫里延平北路6段301~330號,25.087546,121.509111
143,汽車竊盜,2016-04-21,14,16,台北市士林區富洲里延平北路9段211~240號,25.1058807,121.4776269
144,汽車竊盜,2016-04-27,12,14,台北市萬華區雁鴨河濱公園,25.0387025,121.4952208
145,汽車竊盜,2016-04-27,22,24,台北市萬華區桂林路底雁鴨公園內,25.0387025,121.4952208
146,汽車竊盜,2016-04-28,06,08,台北市內湖區江南街71巷65弄1~30號,25.0758864,121.5787228
147,汽車竊盜,2016-04-29,16,18,台北市中山區劍南路上,25.084863,121.5555961
148,汽車竊盜,2016-05-01,08,10,台北市北投區立農里吉利街127巷1~30號,25.1189233,121.5070864
149,汽車竊盜,2016-05-08,10,12,台北市中山區民生東路2段147巷6弄1~30號,25.059296,121.534713
150,汽車竊盜,2016-05-21,02,04,台北市北投區八仙里大度路1~30號,25.1207723,121.4981895
151,汽車竊盜,2016-05-21,18,20,台北市中山區民族東路512巷13弄1~30號,25.067392,121.542358
152,汽車竊盜,2016-05-26,02,04,台北市萬華區西藏路211~240號,25.0285344,121.4966014
153,汽車竊盜,2016-06-13,10,12,台北市萬華區華江雁鴨河濱公園,25.0387025,121.4952208
