code,category,date,time_start,time_end,location
26,住宅竊盜,2015-01-12,08,10,臺北市大安區龍雲里4鄰大安路2段132巷1~30號
27,住宅竊盜,2015-01-12,18,20,臺北市松山區光復南路22巷31~60號
28,住宅竊盜,2015-01-12,20,22,臺北市松山區健康路325巷18弄1~30號
29,住宅竊盜,2015-01-13,10,12,臺北市萬華區青年路31~60號
30,住宅竊盜,2015-01-14,08,10,臺北市松山區富錦街572巷1~30號
31,住宅竊盜,2015-01-14,16,18,臺北市萬華區和平西路3段382巷2弄1~30號
32,住宅竊盜,2015-01-15,00,02,臺北市松山區饒河街181~210號
33,住宅竊盜,2015-01-15,06,08,臺北市南港區舊莊街1段290巷1弄1~30號
34,住宅竊盜,2015-01-15,06,08,臺北市南港區九如里研究院路3段18巷1~30號
35,住宅竊盜,2015-01-15,10,12,臺北市內湖區民權東路6段296巷91~120號
36,住宅竊盜,2015-01-15,12,14,臺北市大安區市民大道4段1~30號
37,住宅竊盜,2015-01-16,10,12,臺北市松山區敦化南路2段31~60號
38,住宅竊盜,2015-01-17,08,10,臺北市信義區國業里松德路25巷31~60號
39,住宅竊盜,2015-01-17,12,14,臺北市文山區明義里興隆路4段46巷31~60號
40,住宅竊盜,2015-01-17,18,20,臺北市中正區羅斯福路4段52巷1~30號
41,住宅竊盜,2015-01-17,18,20,臺北市中正區羅斯福路4段52巷1~30號
42,住宅竊盜,2015-01-18,02,04,臺北市萬華區桂林路242巷1~30號
43,住宅竊盜,2015-01-18,06,08,臺北市萬華區西園路2段320巷61~90號
44,住宅竊盜,2015-01-18,10,12,臺北市大安區通化里通化街19巷1~30號
45,住宅竊盜,2015-01-18,20,22,臺北市信義區富台里忠孝東路5段295巷6弄31~60號
46,住宅竊盜,2015-01-19,06,08,臺北市大同區蓬萊里昌吉街50巷1~30號
47,住宅竊盜,2015-01-20,18,20,臺北市南港區三重里重陽路511~540號
48,住宅竊盜,2015-01-21,08,10,臺北市萬華區柳鄉里1鄰桂林路242巷6弄1~30號
49,住宅竊盜,2015-01-21,20,22,臺北市中山區吉林路379巷1~30號
50,住宅竊盜,2015-01-21,20,22,臺北市士林區百齡里21鄰通河東街1段61~90號
51,住宅竊盜,2015-01-21,22,24,臺北市中山區中山北路1段53巷1~30號
52,住宅竊盜,2015-01-22,10,12,臺北市大同區揚雅里承德路3段90巷1~30號
53,住宅竊盜,2015-01-22,16,18,臺北市大安區龍安里青田街5巷1~30號
54,住宅竊盜,2015-01-23,14,16,臺北市中山區北安路571~600號
55,住宅竊盜,2015-01-23,14,16,臺北市中正區龍光里和平西路2段1~30號
56,住宅竊盜,2015-01-23,18,20,臺北市文山區萬興里21鄰秀明路2段115巷1~30號
57,住宅竊盜,2015-01-24,10,12,臺北市萬華區梧州街60巷1~30號
58,住宅竊盜,2015-01-26,02,04,臺北市萬華區民和街55巷1~30號
59,住宅竊盜,2015-01-26,08,10,臺北市大同區酒泉街103巷1~30號
60,住宅竊盜,2015-01-26,18,20,臺北市中正區水源里羅斯福路4段91~120號
61,住宅竊盜,2015-01-26,20,22,臺北市內湖區西康里4鄰文湖街11巷1~30號
62,住宅竊盜,2015-01-27,02,04,臺北市中山區中山北路2段1~30號
63,住宅竊盜,2015-01-27,06,08,臺北市中山區民生東路3段9巷1~30號
64,住宅竊盜,2015-01-27,10,12,臺北市文山區景興路238巷1~30號
65,住宅竊盜,2015-01-27,10,12,臺北市文山區景興路238巷1~30號
66,住宅竊盜,2015-01-27,14,16,臺北市南港區東明里興華路64巷1~30號
67,住宅竊盜,2015-01-27,16,18,臺北市大安區錦泰里15鄰金山南路2段121~150號
68,住宅竊盜,2015-01-27,16,18,臺北市文山區景興路238巷1~30號
69,住宅竊盜,2015-01-28,14,16,臺北市內湖區東湖里康樂街48巷18~1號
70,住宅竊盜,2015-01-29,12,14,臺北市松山區延壽街121~150號
71,住宅竊盜,2015-01-29,12,14,臺北市信義區富台里忠孝東路5段423巷5弄1~30號
72,住宅竊盜,2015-01-30,12,14,臺北市信義區廣居里忠孝東路5段372巷27弄61~90號
73,住宅竊盜,2015-01-31,00,02,臺北市南港區重陽路57巷1~30號
74,住宅竊盜,2015-02-01,00,02,臺北市北投區中心里中和街31~60號
75,住宅竊盜,2015-02-01,10,12,臺北市松山區敦化北路199巷100弄1~30號
76,住宅竊盜,2015-02-01,10,12,臺北市北投區雙全街62巷1~30號
77,住宅竊盜,2015-02-01,18,20,臺北市信義區信義路6段15巷1~30號
78,住宅竊盜,2015-02-02,08,10,臺北市中正區網溪里廈門街91~120號
79,住宅竊盜,2015-02-02,20,22,臺北市北投區中心里中和街31~60號
80,住宅竊盜,2015-02-03,04,06,臺北市文山區木新里木新路2段161巷1~30號
81,住宅竊盜,2015-02-04,18,20,臺北市中山區農安街125巷1~30號
82,住宅竊盜,2015-02-05,02,04,臺北市士林區百齡里福港街211~240號
83,住宅竊盜,2015-02-05,04,06,臺北市內湖區樂康里康樂街111巷31~60號
84,住宅竊盜,2015-02-05,14,16,臺北市萬華區大理街170巷1~30號
85,住宅竊盜,2015-02-06,08,10,臺北市中山區合江街20巷1~30號
86,住宅竊盜,2015-02-06,16,18,臺北市內湖區西湖里內湖路1段285巷69弄91~120號
87,住宅竊盜,2015-02-07,04,06,臺北市信義區黎安里和平東路路3段571~600號
88,住宅竊盜,2015-02-07,22,24,臺北市中正區三愛里新生南路1段121~150號
89,住宅竊盜,2015-02-08,04,06,臺北市大安區新龍里信義路3段134巷91~120號
90,住宅竊盜,2015-02-09,02,04,臺北市文山區忠順里忠順街2段1~30號
91,住宅竊盜,2015-02-10,00,02,臺北市北投區大同路200巷1~30號
92,住宅竊盜,2015-02-10,10,12,臺北市士林區福志里志成路22巷15弄1~30號
93,住宅竊盜,2015-02-11,16,18,臺北市內湖區葫洲里民權東路6段296巷38之1~30號
94,住宅竊盜,2015-02-12,00,02,臺北市萬華區萬大路493巷48弄1~30號
95,住宅竊盜,2015-02-12,02,04,臺北市松山區撫遠街241~270號
96,住宅竊盜,2015-02-12,12,14,臺北市信義區松隆里松山路615巷1~30號
97,住宅竊盜,2015-02-12,20,22,臺北市文山區興安里22鄰景華街176巷7~1號
98,住宅竊盜,2015-02-13,04,06,臺北市中山區八德路2段210巷1~30號
99,住宅竊盜,2015-02-13,08,10,臺北市中山區農安街1~30號
100,住宅竊盜,2015-02-14,08,10,臺北市士林區明勝里承德路4段12巷61~90號
101,住宅竊盜,2015-02-15,08,10,臺北市中山區長安東路2段1~30號
102,住宅竊盜,2015-02-15,08,10,臺北市大安區法治里通化街173巷1~30號
103,住宅竊盜,2015-02-15,12,14,臺北市北投區吉利里20鄰石牌路1段39巷61~90號
104,住宅竊盜,2015-02-15,22,24,臺北市信義區和平東路3段661~690號
105,住宅竊盜,2015-02-16,00,02,臺北市信義區吳興街269巷1~30號
106,住宅竊盜,2015-02-16,12,14,臺北市中正區文盛里羅斯福路3段210巷8弄1~30號
107,住宅竊盜,2015-02-16,14,16,臺北市內湖區新明路246巷3弄1~30號
108,住宅竊盜,2015-02-16,18,20,臺北市內湖區西湖里內湖路1段91巷121~150號
109,住宅竊盜,2015-02-16,22,24,臺北市松山區南京東路5段211~240號
110,住宅竊盜,2015-02-16,22,24,臺北市中山區南京路三民1號
111,住宅竊盜,2015-02-18,06,08,臺北市大同區民權里民權西路160巷30弄1~30號
112,住宅竊盜,2015-02-19,12,14,臺北市信義區黎忠里和平東路3段391巷8弄31~60號
113,住宅竊盜,2015-02-19,18,20,臺北市北投區文林里致遠一路1段125巷1~30號
114,住宅竊盜,2015-02-19,18,20,臺北市信義區四育里虎林街46巷1~30號
115,住宅竊盜,2015-02-19,20,22,臺北市信義區四育里虎林街46巷1~30號
116,住宅竊盜,2015-02-20,06,08,臺北市北投區文林里致遠一路1段31~60號
117,住宅竊盜,2015-02-21,18,20,臺北市大安區通化里17鄰通化街39巷62弄1~30號
118,住宅竊盜,2015-02-22,02,04,臺北市文山區樟新里樟新街32巷1~30號
119,住宅竊盜,2015-02-23,00,02,臺北市士林區義信里大南路61~90號
120,住宅竊盜,2015-02-23,12,14,臺北市南港區中南里中南街74巷31~60號
121,住宅竊盜,2015-02-23,14,16,臺北市信義區大仁里福德街84巷1弄1~30號
122,住宅竊盜,2015-02-23,20,22,臺北市士林區蘭雅里德行東路31~60號
123,住宅竊盜,2015-02-24,12,14,臺北市萬華區萬大路493巷48弄1~30號
124,住宅竊盜,2015-02-24,16,18,臺北市北投區中心里8鄰泉源路31~60號
125,住宅竊盜,2015-02-24,20,22,臺北市內湖區西湖里26鄰內湖路1段285巷65弄61~90號
126,住宅竊盜,2015-02-25,04,06,臺北市中正區黎明里南陽街1~30號
127,住宅竊盜,2015-02-25,08,10,臺北市士林區聖山里忠誠路1段147巷1~30號
128,住宅竊盜,2015-02-25,10,12,臺北市南港區舊莊里舊莊街1段145巷6弄1~30號
129,住宅竊盜,2015-02-26,02,04,臺北市大安區義安里敦化南路2段63巷31~60號
130,住宅竊盜,2015-02-26,14,16,臺北市中正區幸市里臨沂街33巷1~30號
131,住宅竊盜,2015-02-26,20,22,臺北市內湖區西湖里內湖路1段323巷14弄1~30號
132,住宅竊盜,2015-02-27,00,02,臺北市萬華區西寧南路206巷1~30號
133,住宅竊盜,2015-02-27,02,04,臺北市萬華區西園路2段151~180號
