code,category,date,time_start,time_end,location
67,自行車竊盜,2015-02-25,10,12,臺北市信義區基隆路2段31~60號
68,自行車竊盜,2015-02-26,00,02,臺北市文山區樟腳里木新路3段95巷31~60號
69,自行車竊盜,2015-02-28,18,20,臺北市南港區新富里忠孝東路7段631~660號
70,自行車竊盜,2015-03-01,00,02,臺北市大安區光信里5鄰光復南路421~450號
71,自行車竊盜,2015-03-06,10,12,臺北市文山區景華里三福街1~30號
72,自行車竊盜,2015-03-06,14,16,臺北市中山區錦州街331~360號
73,自行車竊盜,2015-03-07,12,14,臺北市松山區南京東路3段331~360號
74,自行車竊盜,2015-03-08,08,10,臺北市大安區法治里通化街181~210號
75,自行車竊盜,2015-03-08,22,24,臺北市南港區東明里(家樂福前之機車停車格)
76,自行車竊盜,2015-03-14,14,16,臺北市南港區合成里忠孝東路6段451~480號
77,自行車竊盜,2015-03-15,06,08,臺北市大安區古莊里羅斯福路2段101巷1~30號
78,自行車竊盜,2015-03-15,08,10,臺北市大安區和平東路1段151~180號
79,自行車竊盜,2015-03-16,20,22,臺北市大安區學府里羅斯福路4段1~30號
80,自行車竊盜,2015-03-17,12,14,臺北市大安區華聲里市民大路4段211~240號
81,自行車竊盜,2015-03-18,06,08,臺北市北投區清江里三合街2段481~510號
82,自行車竊盜,2015-03-18,10,12,臺北市松山區松河街91~120號
83,自行車竊盜,2015-03-18,16,18,臺北市大安區福住里新生南路2段31~60號
84,自行車竊盜,2015-03-19,06,08,臺北市南港區新富里研究院路1段31~60號
85,自行車竊盜,2015-03-19,12,14,臺北市士林區中山北路5段61~90號
86,自行車竊盜,2015-03-20,12,14,臺北市信義區忠孝東路5段421~450號
87,自行車竊盜,2015-03-21,12,14,臺北市大安區黎和里和平東路3段391~420號
88,自行車竊盜,2015-03-22,18,20,臺北市大安區古莊里羅斯福路2段101巷31~60號
89,自行車竊盜,2015-03-23,10,12,臺北市大安區敦安里敦化南路1段295巷31~60號
90,自行車竊盜,2015-03-27,14,16,臺北市中正區建國里博愛路121~150號
91,自行車竊盜,2015-03-29,10,12,臺北市中正區水源里羅斯福路4段52巷16弄(口)
92,自行車竊盜,2015-03-29,14,16,臺北市中正區文盛里汀州路3段151~180號
93,自行車竊盜,2015-03-29,16,18,臺北市南港區東新里興南街64巷4弄1~30號
94,自行車竊盜,2015-03-31,10,12,臺北市萬華區艋舺大道181~210號
95,自行車竊盜,2015-04-02,08,10,臺北市大安區古莊里浦城街6巷1~30號
96,自行車竊盜,2015-04-05,18,20,臺北市中山區敬業三路121~150號
97,自行車竊盜,2015-04-05,22,24,臺北市大同區南芳里延平北路2段241~270號
98,自行車竊盜,2015-04-05,22,24,臺北市內湖區湖元里舊宗路2段(內湖運動公園)
99,自行車竊盜,2015-04-07,08,10,臺北市大安區龍泉里師大路1~30號
100,自行車竊盜,2015-04-08,00,02,臺北市大安區敦安里8鄰安和路1段78巷1~30號
101,自行車竊盜,2015-04-09,20,22,臺北市北投區榮光里石牌路1段181~210號
102,自行車竊盜,2015-04-10,04,06,臺北市文山區萬祥里興隆路1段102巷1~30號
103,自行車竊盜,2015-04-10,08,10,臺北市大同區鄰江里酒泉街228巷
104,自行車竊盜,2015-04-12,02,04,臺北市大安區昌隆里忠孝東路3段217巷5弄1~30號
105,自行車竊盜,2015-04-12,10,12,臺北市文山區興邦里興隆路2段241~270號
106,自行車竊盜,2015-04-14,10,12,臺北市北投區福興里自強街5巷31~60號
107,自行車竊盜,2015-04-15,06,08,臺北市大同區建泰里南京西路91~120號
108,自行車竊盜,2015-04-15,08,10,臺北市萬華區東園街28巷1~30號
109,自行車竊盜,2015-04-15,10,12,臺北市大安區福住里永康街31~60號
110,自行車竊盜,2015-04-15,14,16,臺北市中山區農安街227巷31~60號
111,自行車竊盜,2015-04-17,10,12,臺北市士林區福德里福德路1~30號
112,自行車竊盜,2015-04-20,00,02,臺北市文山區興業里興隆路2段220巷31~60號
113,自行車竊盜,2015-04-21,10,12,臺北市大安區基隆路3段156巷(台大校園自行車停車場)
114,自行車竊盜,2015-04-21,16,18,臺北市文山區景東里景華街104巷(口)
115,自行車竊盜,2015-04-26,04,06,臺北市大同區雙連里重慶北路(歸綏街)
116,自行車竊盜,2015-04-27,14,16,臺北市大安區龍門里建國南路2段241~270號
117,自行車竊盜,2015-04-27,14,16,臺北市南港區聯成里忠孝東路6段301~330號
118,自行車竊盜,2015-04-28,10,12,臺北市信義區永吉路331~360號
119,自行車竊盜,2015-05-01,02,04,臺北市大安區德安里四維路76巷
120,自行車竊盜,2015-05-01,16,18,臺北市大安區福住里新生南路2段31~60號
121,自行車竊盜,2015-05-01,16,18,臺北市大同區北門站
122,自行車竊盜,2015-05-01,22,24,臺北市信義區六合里信義路5段150巷271~300號
123,自行車竊盜,2015-05-03,12,14,臺北市松山區撫遠街391~420號
124,自行車竊盜,2015-05-03,16,18,臺北市中正區新營里捷運古亭站七號
125,自行車竊盜,2015-05-03,20,22,臺北市中正區黎明里市民大道
126,自行車竊盜,2015-05-07,18,20,臺北市文山區樟文里忠順街1段1~30號
127,自行車竊盜,2015-05-07,22,24,臺北市文山區樟樹里木新路3段151~180號
128,自行車竊盜,2015-05-09,14,16,臺北市士林區蘭雅里德行東路109巷61~90號
129,自行車竊盜,2015-05-09,20,22,臺北市中正區臺大醫院捷運站2號
130,自行車竊盜,2015-05-10,12,14,臺北市士林區義信里中山北路5段61~90號
131,自行車竊盜,2015-05-10,14,16,臺北市信義區松友里信義路6段72巷2弄31~60號
132,自行車竊盜,2015-05-10,22,24,臺北市萬華區青年路106巷1~30號
133,自行車竊盜,2015-05-11,06,08,臺北市文山區興邦里興隆路2段181~210號
134,自行車竊盜,2015-05-13,12,14,臺北市萬華區貴陽街151~180號
135,自行車竊盜,2015-05-16,22,24,臺北市大安區龍門里新生南路2段1~30號
136,自行車竊盜,2015-05-17,16,18,臺北市中正區文祥里金山南路1段101巷1~30號
137,自行車竊盜,2015-05-17,16,18,臺北市大同區大龍街1~30號
138,自行車竊盜,2015-05-18,16,18,臺北市信義區安康里松德路(興雅國中校門口左側)
139,自行車竊盜,2015-05-19,18,20,臺北市士林區義信里中山北路5段61~90號
140,自行車竊盜,2015-05-20,08,10,臺北市大安區龍圖里信義路3段181~210號
141,自行車竊盜,2015-05-21,12,14,臺北市中正區中正紀念堂
142,自行車竊盜,2015-05-26,08,10,臺北市中山區撫順公園
143,自行車竊盜,2015-05-27,16,18,臺北市內湖區港墘里內湖路1段629巷31~60號
144,自行車竊盜,2015-05-28,14,16,臺北市士林區中山北路5段61~90號
145,自行車竊盜,2015-05-29,00,02,臺北市中正區黎明里武昌街一段1~30號
146,自行車竊盜,2015-05-29,04,06,臺北市文山區萬興里指南路2段1~30號
147,自行車竊盜,2015-05-29,06,08,臺北市文山區木柵里木柵路3段85巷14弄1~30號
