code,category,date,time_start,time_end,location,lat,lng
62,機車竊盜,2018-05-16,22,24,臺北市文山區木柵里022鄰秀明路1段31~60號,24.9894415,121.5641733
63,機車竊盜,2018-05-18,02,04,臺北市信義區富陽街72巷,25.0220255,121.5558703
64,機車竊盜,2018-05-20,16,18,臺北市松山區八德路4段301~330號,25.0492205,121.566538
65,機車竊盜,2018-05-25,22,24,臺北市萬華區西園路2段372巷31~60號,25.026545,121.490517
66,機車竊盜,2018-05-26,02,04,臺北市中山區新生北路2段60巷﹑長春路61巷口,25.0557221,121.5263753
67,機車竊盜,2018-05-26,20,22,臺北市大同區民權西路160巷30弄,25.0612817,121.5149664
68,機車竊盜,2018-05-27,08,10,臺北市文山區景行里車前路1~30號,24.9912048,121.5411398
69,機車竊盜,2018-05-27,12,14,臺北市士林區福德路1~30號,25.093535,121.52623
70,機車竊盜,2018-05-27,16,18,臺北市萬華區萬大路486巷59弄1~30號,25.0203937,121.4959257
71,機車竊盜,2018-05-27,22,24,臺北市松山區八德路4段451~480號,25.0499517,121.5705188
72,機車竊盜,2018-05-30,16,18,臺北市信義區大道里忠孝東路5段790巷20弄1~30號,25.04289,121.582068
73,機車竊盜,2018-05-31,04,06,臺北市內湖區成功路4段324巷1弄1~30號,25.085437,121.598806
74,機車竊盜,2018-06-01,22,24,臺北市南港區玉成里八德路4段768巷1~30號,25.0503325,121.5816557
75,機車竊盜,2018-06-05,00,02,臺北市萬華區環河南路2段241~270號,25.0314128,121.490959
76,機車竊盜,2018-06-07,06,08,臺北市中山區建國北路2段258巷1~30號,25.0619183,121.5364888
77,機車竊盜,2018-06-12,10,12,臺北市內湖區內湖路1段715巷,25.0803108,121.5781303
78,機車竊盜,2018-06-16,02,04,臺北市大同區雙連街1巷1~30號,25.057899,121.519405
79,機車竊盜,2018-06-16,18,20,臺北市大同區承德路3段129巷1~30號,25.067361,121.5187584
80,機車竊盜,2018-06-17,16,18,臺北市中山區中原街31~60號,25.0566244,121.5289663
81,機車竊盜,2018-06-17,18,20,臺北市中山區吉林路236巷1~30號,25.0594698,121.5299758
82,機車竊盜,2018-06-24,04,06,臺北市中正區水源里思源街1~30號,25.0125167,121.5300056
83,機車竊盜,2018-06-24,08,10,臺北市北投區清江里崇仁路1段61~90號,25.1268474,121.5014953
84,機車竊盜,2018-06-25,04,06,臺北市萬華區廣州街181~210號,25.0367399,121.5009654
85,機車竊盜,2018-06-28,04,06,臺北市大安區通化里光復南路628巷,25.0316055,121.5572371
86,機車竊盜,2018-06-28,22,24,臺北市文山區景仁里羅斯福路6段31~60號,24.9997786,121.540048
